gene_id	EV_4	DNMT3B_4	DNMT3B_2	EV_3	DNMT3B_3
ETS1-1	24	18	32	51	17
ETS1-2	0	0	0	0	0
ETS2-1	0	0	0	0	0
ETS2-2	0	0	0	0	0
HRA1	30	14	19	71	24
ICR1	154	177	198	133	203
IRT1	260	491	618	387	555
ITS1-1	14	5	7	15	4
ITS1-2	0	0	0	0	0
ITS2-1	170	140	136	214	99
ITS2-2	0	0	0	0	0
LSR1	399	337	684	371	562
NME1	115	89	97	105	117
PWR1	25	34	40	28	41
Q0010	0	0	0	0	0
Q0017	0	0	0	0	0
Q0020	12	61	22	27	35
Q0032	0	0	0	0	0
Q0045	38	38	71	45	63
Q0050	46	50	77	50	74
Q0055	43	37	56	38	57
Q0060	0	1	1	1	1
Q0065	1	0	1	1	1
Q0070	0	0	0	0	0
Q0075	1	0	2	1	1
Q0080	0	0	0	0	0
Q0085	2	6	7	2	7
Q0092	0	0	0	0	0
Q0105	7	2	14	9	9
Q0110	0	0	0	0	0
Q0115	0	0	0	0	0
Q0120	1	0	1	0	3
Q0130	37	36	83	43	55
Q0140	0	0	0	0	0
Q0142	0	0	0	0	0
Q0143	0	0	0	0	0
Q0144	0	0	0	0	0
Q0158	33	144	52	46	82
Q0160	0	0	0	0	0
Q0182	0	0	0	0	0
Q0250	59	32	93	47	68
Q0255	2	1	2	0	2
Q0275	40	26	68	38	69
Q0285	0	0	0	0	0
Q0297	0	0	0	0	0
RDN18-1	0	0	0	0	0
RDN18-2	0	0	0	0	0
RDN25-1	0	0	0	0	0
RDN25-2	0	0	0	0	0
RDN37-1	0	0	0	0	0
RDN37-2	0	0	0	0	0
RDN5-1	0	0	0	0	0
RDN5-2	0	0	0	0	0
RDN5-3	0	0	0	0	0
RDN5-4	0	0	0	0	0
RDN5-5	23	10	18	25	9
RDN5-6	0	0	0	0	0
RDN58-1	0	0	0	0	0
RDN58-2	0	0	0	0	0
RME2	838	771	891	1078	881
RME3	194	164	160	223	147
RNA170	15	9	11	25	11
RPR1	193	129	160	154	174
RUF20	177	180	168	161	177
RUF21	1	30	55	1	37
RUF22	1	2	4	1	2
RUF23	4	10	10	6	5
RUF5-1	11	32	25	12	32
RUF5-2	432	748	443	602	851
SCR1	1647	1223	2950	1521	2113
SRG1	166	156	104	112	121
YAL001C	339	312	370	432	422
YAL002W	371	342	389	422	388
YAL003W	1027	1575	2764	2026	2348
YAL004W	2680	3060	2055	2351	2809
YAL005C	14093	15809	8567	10107	12714
YAL007C	91	89	223	81	176
YAL008W	1034	1037	714	863	943
YAL009W	165	170	211	200	201
YAL010C	134	169	191	133	170
YAL011W	212	208	222	238	211
YAL012W	314	479	448	367	461
YAL013W	718	620	605	719	686
YAL014C	417	390	439	437	424
YAL015C	480	457	345	546	374
YAL016C-A	97	90	108	93	94
YAL016C-B	184	116	91	98	95
YAL016W	1801	1692	1653	1605	1725
YAL017W	1663	1332	1046	1320	1246
YAL018C	153	115	190	211	159
YAL019W	100	150	176	131	164
YAL019W-A	46	73	77	64	69
YAL020C	148	185	267	200	248
YAL021C	617	715	791	638	825
YAL022C	253	175	292	472	230
YAL023C	366	519	1063	503	736
YAL024C	64	87	92	74	90
YAL025C	70	163	246	106	157
YAL026C	267	234	306	427	276
YAL026C-A	44	60	48	57	54
YAL027W	265	254	251	219	257
YAL028W	431	331	310	496	276
YAL029C	168	318	333	182	288
YAL030W	643	489	507	633	499
YAL031C	643	536	566	712	533
YAL031W-A	165	116	117	147	134
YAL032C	349	337	436	430	367
YAL033W	71	80	103	93	99
YAL034C	4047	2562	2262	3981	2746
YAL034C-B	23	23	32	23	24
YAL034W-A	78	63	107	81	92
YAL035W	563	944	1018	552	1110
YAL036C	81	180	231	144	199
YAL037C-A	6	12	24	17	22
YAL037C-B	11873	30486	47479	19187	35767
YAL037W	68	78	94	76	53
YAL038W	15482	40175	64556	25416	47334
YAL039C	1207	1664	1587	1352	1927
YAL040C	176	373	411	220	417
YAL041W	203	207	243	178	205
YAL042C-A	91	117	183	125	138
YAL042W	683	806	1124	808	919
YAL043C	393	377	459	516	433
YAL044C	857	793	1112	1107	814
YAL044W-A	459	380	367	485	371
YAL045C	320	293	297	326	245
YAL046C	143	146	177	159	234
YAL047C	114	80	125	127	117
YAL047W-A	8	8	11	7	6
